CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
60,78.0,75.0,236.0,30,4,12,nan,200,16,63717,318.585,428,78,75,236,461.25930189388157,77,75,237,377,1.4965010405777266,603.7809649275778,677.514381670236,150.93975903614458,16.753012048192772,nan,nan,nan,nan,11.29231348525958,2.8470307896080507,0.001519752158767883
61,111.0,84.5,218.5,16,4,5,nan,63,7,22502,357.1746031746032,572,110,84,219,517.5541892585435,110,84,219,572,1.4851834221951625,634.3707250189359,684.0364312085683,151.32530120481928,16.843373493975903,nan,nan,nan,nan,4.318667337728677,3.6794648440311994,0.7853981633974483
62,14.0,64.0,80.5,28,6,8,nan,90,13,22437,249.3,313,14,64,78,366.0529630263239,13,63,80,274,1.4833767537468356,542.2384035422131,670.6469821578048,150.16867469879517,16.6425702811245,nan,nan,nan,nan,4.418071998329192,3.3718731747306854,0.559671617621171
63,20.0,93.0,14.0,37,6,10,nan,352,28,100134,284.47159090909093,387,19,95,20,416.64489805477615,19,94,14,302,1.482459259223676,546.7821957827582,697.4114982444584,150.2289156626506,16.953815261044177,nan,nan,nan,nan,6.175668823217454,3.669612085431494,0.3423718672872109
64,56.5,76.0,186.5,23,3,10,nan,98,11,32714,333.81632653061223,410,57,75,186,476.1236936573254,56,76,186,377,1.4619849035051231,583.586963980973,678.3908655942682,150.6867469879518,16.753012048192772,nan,nan,nan,nan,6.673938919081461,2.685822284736295,-0.03721184514279181
65,155.0,93.0,190.5,18,4,6,nan,54,5,23075,427.31481481481484,536,154,93,188,599.7836323696146,154,93,189,483,1.4321745813584592,676.3176801358857,690.111594889123,151.85542168674698,16.933734939759034,nan,nan,nan,nan,5.580292775979454,3.6807380420713884,0.1074077002008293
66,152.5,109.5,51.5,32,7,7,nan,103,11,41792,405.747572815534,532,150,107,46,557.8829386214863,152,109,49,415,1.4170486640728222,672.2614008212863,702.4491160682612,151.80722891566265,17.07429718875502,nan,nan,nan,nan,5.366359905713176,4.0470547254255615,-1.3788875151506121
67,105.5,83.0,107.5,38,7,10,nan,256,25,86241,336.87890625,477,103,84,96,467.9792296914799,105,83,105,351,1.4135879214823743,627.6612303351565,684.320975933737,151.24096385542168,16.843373493975903,nan,nan,nan,nan,5.1683024016530945,3.437915433800665,-0.33052158442534346
68,32.0,75.0,277.0,18,2,10,nan,42,6,10550,251.1904761904762,310,32,75,277,333.5287499933481,31,75,276,271,1.3733343643537013,559.5080389822876,679.4501107089001,150.3855421686747,16.753012048192772,nan,nan,nan,nan,6.410747983365109,1.9649396885733192,0.05336783632456781
69,129.0,79.5,134.5,13,4,5,nan,45,7,14207,315.7111111111111,431,129,79,134,422.96735544217665,129,79,134,431,1.3627884567965491,652.6395313205612,678.9186480619707,151.55421686746988,16.79317269076305,nan,nan,nan,nan,4.09878030638384,2.9933259094191533,0.0
